Kabupaten/Kota,Jumlah
KAB. BOGOR,5840907
KAB. SUKABUMI,2460693
KAB. CIANJUR,2260620
KAB. BANDUNG,3717291
KAB. GARUT,2606399
KAB. TASIKMALAYA,1751295
KAB. CIAMIS,1188629
KAB. KUNINGAN,1074497
KAB. CIREBON,2176213
KAB. MAJALENGKA,1199300
KAB. SUMEDANG,1149906
KAB. INDRAMAYU,1719187
KAB. SUBANG,1579018
KAB. PURWAKARTA,953414
KAB. KARAWANG,2336009
KAB. BEKASI,3630907
KAB. BANDUNG BARAT,1683711
KAB. PANGANDARAN,397187
KOTA BOGOR,1096828
KOTA SUKABUMI,326282
KOTA BANDUNG,2503708
KOTA CIREBON,316277
KOTA BEKASO,2931897
KOTA DEPOK,2330333
KOTA CIMAHI,607811
KOTA TASIKMALAYA,662723
KOTA BANJAR,182819
